X,Y,OBJECTID,Site_Name,Site_Score,Site_EPA_ID,SEMS_ID,SITS_ID,Region_ID,State,City,County,Status,Longitude,Latitude,Proposed_Date,Listing_Date,Construction_Completion_Date,Construction_Completion_Number,NOID_Date,Deletion_Date,Site_Listing_Narrative,Site_Progress_Profile,Notice_of_Data_Availability,Proposed_FR_Notice,Deletion_FR_Notice,Final_FR_Notice,NOID_FR_Notice,Restoration_FR_Notice_Jumper_Pa,Site_has_had_a_Partial_Deletion,CreationDate,Creator,EditDate,Editor,ObjectId2
-71.829169,41.708331,,Revere Textile Prints Corp.,41.06,CTD004532610,100121,7,1,Connecticut,Sterling,Windham,Deleted NPL Site,-71.829169,41.708331,06/10/1986,07/22/1987,09/30/1992,145,03/01/1994,09/02/1994,"<a href=""https://semspub.epa.gov/src/document/01/75001285"" target=""_blank"">CTD004532610 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100121"" target=""_blank"">Revere Textile Prints Corp.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189644"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/01/75001293"" target=""_blank"">09/02/1994 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/01/75001045"" target=""_blank"">03/01/1994 (PDF)</a>",,No,,,,,1
-72.9986,41.5748,,Nutmeg Valley Road,42.69,CTD980669261,100250,8,1,Connecticut,Wolcott,New Haven,Deleted NPL Site,-72.9986,41.5748,01/22/1987,03/31/1989,09/28/2004,922,08/05/2005,09/23/2005,"<a href=""https://semspub.epa.gov/src/document/01/75001286"" target=""_blank"">CTD980669261 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100250"" target=""_blank"">Nutmeg Valley Road</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2005-09-23/pdf/05-19054.pdf"" target=""_blank"">09/23/2005 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2005-08-05/pdf/05-15435.pdf"" target=""_blank"">08/05/2005 (PDF)</a>",,No,,,,,2
-72.681388,41.48111,,Durham Meadows,33.94,CTD001452093,100108,9,1,Connecticut,Durham,Middlesex,NPL Site,-72.681388,41.48111,06/24/1988,10/04/1989,,0,,,"<a href=""https://semspub.epa.gov/src/document/01/75001287"" target=""_blank"">CTD001452093 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100108"" target=""_blank"">Durham Meadows</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,,3
-72.910833,41.5575,,Cheshire Ground Water Contamination,35.57,CTD981067317,100265,1031,1,Connecticut,Cheshire,New Haven,Deleted NPL Site,-72.910833,41.5575,06/24/1988,08/30/1990,12/31/1996,422,03/21/1997,07/02/1997,"<a href=""https://semspub.epa.gov/src/document/01/75001177"" target=""_blank"">CTD981067317 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100265"" target=""_blank"">Cheshire Ground Water Contamination</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-07-02/pdf/97-17032.pdf"" target=""_blank"">07/02/1997 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-03-21/pdf/97-7066.pdf"" target=""_blank"">03/21/1997 (PDF)</a>",,No,,,,,4
-71.966939,41.940561,,Linemaster Switch Corp.,33.71,CTD001153923,100041,1095,1,Connecticut,Woodstock,Windham,NPL Site,-71.966939,41.940561,06/24/1988,02/21/1990,03/29/2005,931,,,"<a href=""https://semspub.epa.gov/src/document/01/75001179"" target=""_blank"">CTD001153923 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100041"" target=""_blank"">Linemaster Switch Corp.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>",,,No,,,,,5
-73.047222,41.980556,,Barkhamsted-New Hartford Landfill,38.05,CTD980732333,100255,1206,1,Connecticut,Barkhamsted,Litchfield,NPL Site,-73.047222,41.980556,06/24/1988,10/04/1989,09/28/2001,803,,,"<a href=""https://semspub.epa.gov/src/document/01/75001185"" target=""_blank"">CTD980732333 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100255"" target=""_blank"">Barkhamsted-New Hartford Landfill</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,,6
-71.924161,41.665281,,Gallup's Quarry,46.29,CTD108960972,100201,1209,1,Connecticut,Plainfield,Windham,NPL Site,-71.924161,41.665281,06/24/1988,10/04/1989,09/30/1997,498,,,"<a href=""https://semspub.epa.gov/src/document/01/75001187"" target=""_blank"">CTD108960972 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100201"" target=""_blank"">Gallup's Quarry</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,,7
-72.447911,41.84975,,Precision Plating Corp.,49.1,CTD051316313,100156,1216,1,Connecticut,Vernon,Tolland,NPL Site,-72.447911,41.84975,06/24/1988,10/04/1989,,0,,,"<a href=""https://semspub.epa.gov/src/document/01/75001193"" target=""_blank"">CTD051316313 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100156"" target=""_blank"">Precision Plating Corp.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,,8
-72.087081,41.400139,,New London Submarine Base,36.53,CTD980906515,100261,1267,1,Connecticut,New London,New London,NPL Site,-72.087081,41.400139,10/26/1989,08/30/1990,,0,,,"<a href=""https://semspub.epa.gov/src/document/01/75001197"" target=""_blank"">CTD980906515 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100261"" target=""_blank"">New London Submarine Base</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189651"" target=""_blank"">10/26/1989 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,No,,,,,9
-73.117222,41.201278,,"Raymark Industries, Inc.",0,CTD001186618,100094,1408,1,Connecticut,Stratford,Fairfield,NPL Site,-73.117222,41.201278,01/18/1994,04/25/1995,,0,,,"<a href=""https://semspub.epa.gov/src/document/01/75001210"" target=""_blank"">CTD001186618 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100094"" target=""_blank"">Raymark Industries, Inc.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189657"" target=""_blank"">01/18/1994 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-04-25/pdf/95-10156.pdf"" target=""_blank"">04/25/1995 (PDF)</a>",,,No,,,,,10
